[lighthouse_ros-1] [INFO] [1727466690.509913308] [lighthouse_ros]: Angles: [2.105419613839369, 0.011024511446174001]
[lighthouse_ros-1] [INFO] [1727466690.513048483] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.515655073] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.519115335] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.521385856] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.524203387] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.527033140] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.529361975] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.531760883] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.534657821] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.537052877] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.539378304] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.542267723] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.545119458] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.547823935] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.550799464] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.553638513] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.556389472] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.559004802] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.561635540] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.564052910] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.566975051] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466690.569318886] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466690.571680998] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466690.574668971] [lighthouse_ros]: Angles: [2.1053147848874243, 0.010919682494229255]
[lighthouse_ros-1] [INFO] [1727466690.578712261] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.581722049] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.584400379] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.587648440] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.591698249] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.594985810] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.598314093] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.600724519] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.603844231] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466690.606320786] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466690.608523475] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466690.610804292] [lighthouse_ros]: Angles: [2.1054589246963484, 0.011063822303153392]
[lighthouse_ros-1] [INFO] [1727466690.613408789] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.615706699] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.617919202] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.620128168] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.622782239] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.625081778] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.627289467] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.629443360] [lighthouse_ros]: Angles: [2.1054065102203756, 0.011011407827180575]
[lighthouse_ros-1] [INFO] [1727466690.632245910] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.634972498] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.637784363] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.640309639] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.643322889] [lighthouse_ros]: Angles: [2.105445821077355, 0.011050718684159966]
[lighthouse_ros-1] [INFO] [1727466690.646372436] [lighthouse_ros]: Angles: [2.105445821077355, 0.011050718684159966]
[lighthouse_ros-1] [INFO] [1727466690.649161430] [lighthouse_ros]: Angles: [2.105445821077355, 0.011050718684159966]
[lighthouse_ros-1] [INFO] [1727466690.651471784] [lighthouse_ros]: Angles: [2.105445821077355, 0.011050718684159966]
[lighthouse_ros-1] [INFO] [1727466690.661675906] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.664802340] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.667575409] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.670889137] [lighthouse_ros]: Angles: [2.1054327174583625, 0.011037615065167428]
[lighthouse_ros-1] [INFO] [1727466690.674653283] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.677629571] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.680387418] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.683401631] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.686638156] [lighthouse_ros]: Angles: [2.105419613839369, 0.011024511446174001]
[lighthouse_ros-1] [INFO] [1727466690.688942843] [lighthouse_ros]: Angles: [2.105419613839369, 0.011024511446174001]
[lighthouse_ros-1] [INFO] [1727466690.691581488] [lighthouse_ros]: Angles: [2.105419613839369, 0.011024511446174001]
[lighthouse_ros-1] [INFO] [1727466690.694212171] [lighthouse_ros]: Angles: [2.105419613839369, 0.011024511446174001]
[lighthouse_ros-1] [INFO] [1727466690.697136089] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.699642125] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
